,location_name,lat,lon,location_type,M1,MyRepublic,Singtel,StarHub
1678,McDonald's Scape Park,1.30086543417456,103.835700848396,F&B,False,False,True,False
529,KFC CHINATOWN POINT,1.28499882771298,103.844697085395,F&B,True,False,False,False
1130,Y110 Coffee Station Pte Ltd,1.43376057703049,103.828993393048,F&B,True,False,False,False
145,Hong Kah North Zone 3 RC,1.35747151473363,103.74794883672,Community,True,False,False,False
1736,Pasir Panjang Food Centre,1.27597933641758,103.791343284107,F&B,False,False,True,False
1515,Bishan MRT - NSL,1.35070566850026,103.848078932848,Public Transport,False,False,True,False
139,Henderson SAC,1.28434758642899,103.821772693479,Welfare Organisation,True,False,False,False
49,Covenant FSC,1.36948815708699,103.88478874052,Welfare Organisation,True,False,False,False
386,Blue Cross Thong Kheng Home,1.34945084382885,103.728808573022,Welfare Organisation,True,False,False,False
918,SPD@Toa Payoh,1.33131572640488,103.856657027925,Welfare Organisation,True,False,False,False
197,Care Corner Senior Activity Centre (TP 170),1.33131926073746,103.842668711501,Welfare Organisation,True,False,False,False
1570,Eusoff Hall (EH),1.29285044231234,103.770069083593,School,False,False,False,True
436,Loyang Point,1.36700053783377,103.964617781926,Government,True,False,False,False
121,Jalan Kayu Zone 2 RC,1.3705776572827,103.857854588548,Community,True,False,False,False
1153,Sysma Construction Pte Ltd,1.35733658315248,103.901046908086,Commercial,True,False,False,False
252,Chien Chi Tow @ Yishun,1.43147860958509,103.827452006977,Healthcare,True,False,False,False
720,Nee Soon Central Zone 6 RC,1.41979748227778,103.839312791046,Community,True,False,False,False
1397,Lagoon Snooker Centre Pte Ltd,1.33202220406794,103.690003464686,Commercial,False,False,True,False
1507,Bedok 538 Market & Food Centre,1.33206727081153,103.924621322456,F&B,False,False,True,False
220,Changi General Hospital - Medical Centre L1,1.33945829071163,103.949301399568,Healthcare,True,False,False,False
1096,SGH BLK2 - L02 URO,1.27993968247,103.830721777631,Healthcare,True,False,False,False
663,National Heart Centre Singapore - E - L04,1.27863260198985,103.835954418501,Healthcare,True,False,False,False
626,Kebun Baru Heights RC,1.37193369333348,103.837486064609,Community,True,False,False,False
843,Pizza Hut Toa Payoh,1.33297562099035,103.847965425219,F&B,True,False,False,False
991,Punggol Cove RC,1.39809045829695,103.906569315356,Community,True,False,False,False
1715,McDonald's Bedok Reservoir,1.33786041785122,103.92166331056,F&B,False,False,True,False
1159,THK FSC @ Tanjong Pagar,1.28567231439038,103.82678426812,Welfare Organisation,True,False,False,False
1209,Singapore National Eye Centre NEW - L08,1.28108025146011,103.835736519141,Healthcare,True,False,False,False
1228,Singhealth - SHBM - Connection One - Tower 3 Level 7,1.28331164506167,103.818864967107,Healthcare,True,False,False,False
457,Marsiling Zone 2 RC,1.44134503221688,103.777182725474,Community,True,False,False,False
1109,Wesley Senior Activity Centre,1.30621515888786,103.858221519767,Welfare Organisation,True,False,False,False
707,National Kidney Foundation (NKF) - Yishun St 21,1.43068317715425,103.836576632369,Healthcare,True,False,False,False
1001,Punggol Oasis RC (Cafe Corner),1.38349233371644,103.900312365788,Community,True,False,False,False
412,King George Ave Senior Activity Centre,1.30775369845638,103.861291872289,Welfare Organisation,True,False,False,False
734,NLB @ Ang Mo Kio,1.37479009534678,103.845580700883,Community,True,False,False,False
337,Bedok Reservoir-Punggol Vale RC (Cafe Corner),1.37239535523757,103.889038097758,Community,True,False,False,False
870,Performance Motors Limited,1.31584725799673,103.688809668244,Commercial,True,False,False,False
1612,Ng Teng Fong Hospital - Clinic_Tower(SOC)_L4,1.33553381915145,103.743865454971,Healthcare,False,False,True,False
1636,Ng Teng Fong Hospital - Ward_Tower(RH)_B1,1.33553381915145,103.743865454971,Healthcare,False,False,True,False
1633,Ng Teng Fong Hospital - Community_Hospital(CH)_LIFT,1.33553381915145,103.743865454971,Healthcare,False,False,True,False
565,KFC Nee Soon South CC,1.4151749664221,103.834693130803,F&B,True,False,False,False
439,MacPherson CC,1.3235370882948,103.884481193415,Community,True,False,False,False
1144,Sriville RC,1.31718043614121,103.898339984512,Community,True,False,False,False
414,Kolam Ayer Kallang Bahru RC,1.32036883993844,103.868340800907,Community,True,False,False,False
452,Marine Parade Polyclinic - Level 2,1.30248201886186,103.907738800314,Healthcare,True,False,False,False
353,Bukit Merah CC,1.28525426592061,103.815828543116,Community,True,False,False,False
915,SPD@Bedok,1.33066302738869,103.926980405777,Welfare Organisation,True,False,False,False
614,Kampong Glam Selegie RC,1.30346095526547,103.850709315997,Community,True,False,False,False
1136,Snipe Avenue Holdings Pte Ltd @ PASIR RIS,1.36968625389574,103.947922435056,Retail Shop,True,False,False,False
556,KFC KALLANG STADIUM,1.30505117272527,103.881356064504,F&B,True,False,False,False
86,Friendly Vegetarian Food Supplier,1.2848732722938,103.778834579043,Commercial,True,False,False,False
740,NLB @ Chinatown,1.28499882771298,103.844697085395,Community,True,False,False,False
1382,KPMG - HLB,1.28136359543729,103.850914475563,Commercial,False,False,True,False
68,Eunos Zone 7 (Cafe Corner),1.33056064961448,103.909838953184,Community,True,False,False,False
865,Paya Lebar Zone 8 RC,1.35221025247391,103.880165369359,Community,True,False,False,False
1236,Singhealth - SHBM - Connection One - Tower 5 Level 20,1.28331164506167,103.818864967107,Healthcare,True,False,False,False
37,Compassvale Beacon RC (Cafe Corner),1.38514491239347,103.899291180216,Community,True,False,False,False
399,Boundary Ville RC,1.35636400649066,103.870259858506,Community,True,False,False,False
911,SKH General Hospital,1.39429941158945,103.893001336131,Healthcare,True,False,False,False
1778,Tanglin Halt Food Centre,1.29973071015596,103.797835540477,F&B,False,False,True,False
1200,Singapore National Eye Centre GLENEAGLES,1.30736472518372,103.819420896864,Healthcare,True,False,False,False
1656,McDonald's Lucky Chinatown,1.28365310601513,103.843309608147,F&B,False,False,True,False
392,Boon Lay Zone B RC,1.3439945094899,103.705396300851,Community,True,False,False,False
159,Hougang Zone 4 RC (Cafe Corner),1.3704454886097,103.898588742073,Community,True,False,False,False
1742,Potong Pasir - NEL,1.33122478173728,103.86904210114,Public Transport,False,False,True,False
729,NKF Woodlands St 81,1.43883121895222,103.789589257765,Healthcare,True,False,False,False
1455,Goutama Weights & Testing Pte Ltd,1.37646219668256,103.97256323173,Commercial,False,True,False,False
1104,Wang Lai Construction @ 39 Kranji Link,1.43655191940341,103.745564036234,Others,True,False,False,False
263,Chong Pang Zone 7 RC,1.43962488840979,103.837771055635,Community,True,False,False,False
1058,SGH BLK 4 - L07,1.27993968247,103.830721777631,Healthcare,True,False,False,False
627,Kebun Baru Link RC,1.37583826761628,103.838123059584,Community,True,False,False,False
1686,McDonald's Siglap,1.3126056503473,103.923168090089,F&B,False,False,True,False
936,Sengkang FSC,1.38907483494666,103.897367568662,Welfare Organisation,True,False,False,False
1196,Yew Tee Zone 4 RC,1.38883086637936,103.742049281495,Community,True,False,False,False
773,National Dental Centre Singapore - L01,1.27975902044494,103.83823248461,Healthcare,True,False,False,False
1039,SGH BLK 1 - L02,1.27993968247,103.830721777631,Healthcare,True,False,False,False
